video_id,group,scene,human_action,scene_mode,scene_label,human_action_mode,human_action_label,removed_reason
g1_video_007,deep-forcing-60s,0.0,100.0,keyword,sea,unmatched,,human_action_unmatched
g2_video_007,pyramid-forcing-60s,65.121,100.0,fallback,coffee,unmatched,,human_action_unmatched
g2_video_009,pyramid-forcing-60s,0.0,100.0,fallback,rush,unmatched,,human_action_unmatched
g2_video_012,pyramid-forcing-60s,0.0,100.0,preposition,kangaroo,unmatched,,human_action_unmatched
g2_video_018,pyramid-forcing-60s,99.5968,100.0,keyword,train,unmatched,,human_action_unmatched
g2_video_024,pyramid-forcing-60s,0.0,100.0,preposition,video,unmatched,,human_action_unmatched
g2_video_025,pyramid-forcing-60s,56.653200000000005,100.0,keyword,gallery,unmatched,,human_action_unmatched
g2_video_030,pyramid-forcing-60s,0.0,100.0,preposition,shows,unmatched,,human_action_unmatched
g2_video_036,pyramid-forcing-60s,78.0242,100.0,keyword,desert,unmatched,,human_action_unmatched
g2_video_042,pyramid-forcing-60s,72.7823,100.0,preposition,tropical,unmatched,,human_action_unmatched
g2_video_044,pyramid-forcing-60s,0.0,100.0,fallback,atmosphere,unmatched,,human_action_unmatched
g2_video_045,pyramid-forcing-60s,90.7258,100.0,preposition,site,unmatched,,human_action_unmatched
g2_video_046,pyramid-forcing-60s,4.8387,100.0,preposition,shape,unmatched,,human_action_unmatched
g2_video_049,pyramid-forcing-60s,0.0,100.0,keyword,gallery,unmatched,,human_action_unmatched
g2_video_054,pyramid-forcing-60s,100.0,100.0,keyword,beach,unmatched,,human_action_unmatched
g2_video_057,pyramid-forcing-60s,19.5565,6.4516,fallback,cappuccino,unmatched,,human_action_unmatched
g2_video_062,pyramid-forcing-60s,0.0,100.0,fallback,color,unmatched,,human_action_unmatched
g2_video_073,pyramid-forcing-60s,36.0887,100.0,keyword,warehouse,unmatched,,human_action_unmatched
g2_video_078,pyramid-forcing-60s,79.4355,100.0,preposition,tunnel,unmatched,,human_action_unmatched
g2_video_080,pyramid-forcing-60s,0.0,100.0,preposition,hyper,unmatched,,human_action_unmatched
g2_video_083,pyramid-forcing-60s,90.3226,100.0,keyword,mountain,unmatched,,human_action_unmatched
g2_video_088,pyramid-forcing-60s,0.0,100.0,keyword,alley,unmatched,,human_action_unmatched
g2_video_090,pyramid-forcing-60s,0.0,100.0,fallback,tv,unmatched,,human_action_unmatched
g2_video_124,pyramid-forcing-60s,76.2097,100.0,keyword,lake,unmatched,,human_action_unmatched
g2_video_126,pyramid-forcing-60s,0.0,100.0,preposition,fast,unmatched,,human_action_unmatched
g3_video_007,rolling-forcing-60s,0.0,100.0,keyword,sea,unmatched,,human_action_unmatched
g4_video_007,self-forcing-60s,0.0,100.0,keyword,sea,unmatched,,human_action_unmatched
