video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group
g2_video_007,0.602442,0.22009,0.964771,0.0,0.0,76.002073,0.991079,0.06196,0.973445,0.982943,0.06196,7.350978454545454,c2_headkv_aligned_baseline_72
g2_video_008,0.677546,0.236267,0.964771,0.0,0.0,75.987431,0.996069,0.034954,0.973445,0.995952,0.034954,7.354671727272728,c2_headkv_aligned_baseline_72
g2_video_009,0.634218,0.198481,0.964771,0.0,0.0,73.745602,0.993505,0.043028,0.973445,0.990807,0.043028,7.144262272727275,c2_headkv_aligned_baseline_72
g2_video_010,0.656792,0.219902,0.964771,0.444444,0.0,68.205793,0.991586,0.030913,0.973445,0.98958,0.030913,6.682558090909091,c2_headkv_aligned_baseline_72
g2_video_011,0.542747,0.262517,0.964771,0.0,0.0,67.821458,0.993497,0.078419,0.973445,0.991375,0.078419,6.609695272727274,c2_headkv_aligned_baseline_72
g2_video_012,0.767151,0.207387,0.964771,1.0,0.0,62.442038,0.963237,0.023852,0.973445,0.943237,0.023852,6.209906363636364,c2_headkv_aligned_baseline_72
g2_video_013,0.690913,0.207197,0.964771,1.0,0.0,73.057945,0.97289,0.043471,0.973445,0.95464,0.043471,7.173522090909091,c2_headkv_aligned_baseline_72
g2_video_014,0.593442,0.21457,0.964771,0.333333,0.0,71.407376,0.993291,0.03314,0.973445,0.990378,0.03314,6.957898727272728,c2_headkv_aligned_baseline_72
g2_video_015,0.588021,0.185135,0.964771,0.0,0.0,74.696227,0.987113,0.051595,0.973445,0.980109,0.051595,7.225273727272727,c2_headkv_aligned_baseline_72
g2_video_016,0.762841,0.219438,0.964771,1.0,0.0,72.485272,0.974013,0.01784,0.973445,0.954632,0.01784,7.12455381818182,c2_headkv_aligned_baseline_72
g2_video_017,0.600014,0.217607,0.964771,1.0,0.0,74.457268,0.969417,0.047873,0.973445,0.953004,0.047873,7.2937520000000005,c2_headkv_aligned_baseline_72
g2_video_018,0.792246,0.244214,0.964771,0.222222,0.0,78.381647,0.994116,0.042952,0.973445,0.991916,0.042952,7.604589181818183,c2_headkv_aligned_baseline_72
g2_video_019,0.803286,0.196546,0.964771,0.111111,0.0,78.981193,0.989884,0.074878,0.973445,0.976928,0.074878,7.649720000000001,c2_headkv_aligned_baseline_72
g2_video_020,0.538421,0.21483,0.964771,0.222222,0.0,76.230409,0.987133,0.034009,0.973445,0.973654,0.034009,7.379354818181816,c2_headkv_aligned_baseline_72
g2_video_021,0.661281,0.21697,0.964771,1.0,0.0,64.99271,0.98112,0.006549,0.973445,0.95682,0.006549,6.43274681818182,c2_headkv_aligned_baseline_72
g2_video_022,0.567039,0.215118,0.964771,0.555556,0.0,78.466775,0.986647,0.043801,0.973445,0.984886,0.043801,7.618349000000001,c2_headkv_aligned_baseline_72
g2_video_023,0.612463,0.201506,0.964771,0.333333,0.0,67.594851,0.993062,0.006649,0.973445,0.98676,0.006649,6.606680818181817,c2_headkv_aligned_baseline_72
g2_video_024,0.589028,0.209425,0.964771,1.0,0.0,61.874257,0.944088,0.05293,0.973445,0.898699,0.05293,6.1417793636363625,c2_headkv_aligned_baseline_72
g3_video_000,0.60811,0.20435,0.961609,0.888889,0.0,58.866598,0.980023,0.098664,0.968814,0.957692,0.098664,5.8757648181818185,c3_osc_class_windowed_select_72
g3_video_001,0.620193,0.195473,0.961609,0.0,0.0,78.604681,0.98913,0.069287,0.968814,0.980932,0.069287,7.587218727272727,c3_osc_class_windowed_select_72
g3_video_002,0.659405,0.203821,0.961609,1.0,0.0,74.058085,0.984003,0.08796,0.968814,0.973607,0.08796,7.271387636363636,c3_osc_class_windowed_select_72
g3_video_003,0.551084,0.215232,0.961609,0.666667,0.0,75.500171,0.982794,0.119278,0.968814,0.971018,0.119278,7.368722272727271,c3_osc_class_windowed_select_72
g3_video_004,0.685239,0.219267,0.961609,0.222222,0.0,69.212943,0.987809,0.019731,0.968814,0.983879,0.019731,6.752840363636361,c3_osc_class_windowed_select_72
g3_video_005,0.676029,0.225681,0.961609,0.111111,0.0,78.007155,0.977405,0.057409,0.968814,0.960075,0.057409,7.545699727272728,c3_osc_class_windowed_select_72
g3_video_006,0.538597,0.25659,0.961609,0.444444,0.0,70.74476,0.983888,0.094668,0.968814,0.977305,0.094668,6.91503118181818,c3_osc_class_windowed_select_72
g3_video_007,0.597795,0.223794,0.961609,0.0,0.0,76.55026,0.984727,0.071619,0.968814,0.972902,0.071619,7.400285363636363,c3_osc_class_windowed_select_72
g3_video_008,0.68567,0.230854,0.961609,0.111111,0.0,78.384126,0.994736,0.036402,0.968814,0.992976,0.036402,7.5820636363636345,c3_osc_class_windowed_select_72
g3_video_009,0.566816,0.230939,0.961609,0.0,0.0,80.414366,0.985339,0.05221,0.968814,0.977074,0.05221,7.746307000000001,c3_osc_class_windowed_select_72
g3_video_010,0.647485,0.231625,0.961609,0.111111,0.0,74.883163,0.990021,0.038937,0.968814,0.986691,0.038937,7.259853909090908,c3_osc_class_windowed_select_72
