video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
g10_video_000,62.5707,21.7007,94.9337,100.0,0.0,65.478507,98.7168,19.9416,97.5,97.59830000000001,96.3814,19.9416,64.56360891666667,sta_minus_s2_r6,90.70638942248112,57.10056435483,83.9852244089509
g10_video_001,60.978100000000005,21.2143,95.5927,86.66669999999999,6.6667000000000005,77.192593,98.63199999999999,24.5696,0.0,96.83500000000001,96.5043,24.5696,57.45179941666667,sta_minus_s2_r6,89.44173125638073,43.177805569567475,80.18894611901808
g10_video_002,66.53280000000001,23.8666,95.7821,86.66669999999999,0.0,74.498084,99.2232,24.7283,0.0,97.9251,98.4131,24.7283,57.69702366666667,sta_minus_s2_r6,91.63638296552469,43.88274030256461,82.08565443293267
g10_video_003,64.0878,19.9849,95.82159999999999,93.3333,0.0,76.442418,99.048,25.9599,5.4167,98.2003,96.7426,25.9599,58.416451499999994,sta_minus_s2_r6,91.04511250541424,43.825929651490796,81.60127593462956
g10_video_004,70.0189,21.8088,98.79339999999999,6.6667000000000005,0.0,73.235738,99.3158,25.7601,0.0,98.94279999999999,99.1084,25.7601,51.6175615,sta_minus_s2_r6,87.16699265145478,43.57048666723298,78.4476914546104
g10_video_005,70.26559999999999,33.1013,96.7412,26.6667,6.6667000000000005,78.305528,98.8526,26.897100000000002,62.916700000000006,98.3653,97.509,26.897100000000002,60.26540233333333,sta_minus_s2_r6,87.30358859439836,66.19506854389591,83.08188458429787
g10_video_006,60.080999999999996,30.1666,98.2772,0.0,6.6667000000000005,66.811901,99.417,31.6412,0.0,99.5304,99.2234,31.6412,51.95471675000001,sta_minus_s2_r6,85.22474290765084,56.103889450549445,79.40057221623056
g10_video_007,61.2316,21.2974,97.4092,0.0,100.0,77.880835,98.7829,30.927100000000003,0.0,98.7091,98.2572,30.927100000000003,59.61853625,sta_minus_s2_r6,84.33729509425517,68.889127057061,81.24766148681633
g10_video_008,64.3732,26.723799999999997,98.5931,0.0,100.0,76.993712,99.5874,25.393,100.0,99.3734,99.4461,25.393,67.989726,sta_minus_s2_r6,86.10495722954468,86.62105055871746,86.20817589537924
g10_video_009,66.3565,24.1679,97.5423,0.0,0.0,75.231005,99.3449,28.1536,3.75,98.9451,98.95859999999999,28.1536,51.716958749999996,sta_minus_s2_r6,85.7836945407232,48.7707288219915,78.38110139697686
g10_video_010,65.7805,22.439799999999998,96.68860000000001,53.333299999999994,0.0,61.885007,99.2969,32.940000000000005,0.0,98.0224,99.1567,32.940000000000005,55.20693391666666,sta_minus_s2_r6,89.51041591528687,51.903916041793764,81.98911594058825
g10_video_011,49.747,26.251,97.9307,0.0,0.0,68.852853,99.5793,16.2799,0.0,99.42309999999999,99.3907,16.2799,47.81120441666666,sta_minus_s2_r6,83.69846842505547,36.274399156711176,74.21365457138661
g10_video_012,75.9552,36.967800000000004,97.91539999999999,100.0,40.0,67.157355,97.4939,26.1921,0.0,97.7483,96.49950000000001,26.1921,63.51013791666667,sta_minus_s2_r6,92.81732524367344,56.78252747252748,85.61036568944425
