group,n_videos,aesthetic_quality_mean,aesthetic_quality_std,appearance_style_mean,appearance_style_std,background_consistency_mean,background_consistency_std,dynamic_degree_mean,dynamic_degree_std,human_action_mean,human_action_std,imaging_quality_mean,imaging_quality_std,motion_smoothness_mean,motion_smoothness_std,overall_consistency_mean,overall_consistency_std,scene_mean,scene_std,subject_consistency_mean,subject_consistency_std,temporal_flickering_mean,temporal_flickering_std,temporal_style_mean,temporal_style_std,vbench_temporal_score_mean,vbench_temporal_score_std,vbench_quality_score_mean,vbench_quality_score_std,vbench_semantic_lite_score_mean,vbench_semantic_lite_score_std,vbench_total_lite_score_mean,vbench_total_lite_score_std
causal-forcing-60s,128,56.8719,7.8386,23.3332,3.8923,95.0804,1.2857,56.8044,37.8172,19.6069,34.8175,68.6261,7.3644,98.4874,0.6173,22.5118,5.3643,33.222,36.7211,96.5727,1.3946,95.3885,1.8464,22.5118,5.3643,57.4181,5.6836,85.8196,3.1278,52.3714,12.5342,79.1299,3.6849
deep-forcing-60s,128,60.4832,7.8971,24.1464,4.5682,96.1456,1.8758,43.0948,41.9828,21.0938,36.7194,68.4259,8.6836,98.3485,1.4698,24.4831,5.2919,33.2409,39.5826,96.928,2.303,97.4055,2.1886,24.4831,5.2919,57.3566,5.9114,86.3702,2.5395,54.9133,12.6486,80.0788,3.5333
pyramid-forcing-60s,128,60.9897,7.3113,23.9356,4.4594,96.1969,1.9825,53.4526,41.6712,21.623,38.2784,69.4636,7.4316,98.5555,1.1513,24.1594,5.1818,29.9017,38.6206,97.2971,2.2682,97.3004,2.1078,24.1594,5.1818,58.0862,6.2037,87.3878,2.6935,53.8256,13.2853,80.6753,3.8507
rolling-forcing-60s,128,61.0569,7.3289,23.8871,4.3719,96.6441,1.4349,32.0817,37.1353,20.4889,36.7544,70.5466,7.3132,98.7331,0.8551,24.1989,4.9985,32.5085,40.3259,97.7408,1.7084,97.7167,1.5979,24.1989,4.9985,56.6502,5.9179,86.1938,2.4361,54.2032,12.9152,79.7957,3.6261
self-forcing-60s,128,55.6239,7.2301,23.5607,3.9597,95.5329,1.9933,43.75,36.9038,18.2208,34.6854,64.2765,9.2891,97.8491,2.6142,22.3341,5.0404,23.9447,29.6633,95.7459,3.588,96.852,3.36,22.3341,5.0404,55.0021,5.4256,84.8391,3.1574,50.0111,12.0998,77.8735,4.0679
