video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
g10_video_000,61.9019,19.6716,94.5982,100.0,0.0,62.139336,98.2876,20.5241,85.1562,97.0689,94.6219,20.5241,62.87448633333332,diff_ths_256prompt_72frame_6.4thp_80ths,89.48147239321003,56.31474311352738,82.84812653727349
g10_video_001,61.128899999999994,21.077,98.0068,56.25,0.0,76.251083,99.0479,28.044000000000004,0.0,98.7583,98.0168,28.044000000000004,55.385398583333334,diff_ths_256prompt_72frame_6.4thp_80ths,88.82186750453852,45.56600125103289,80.1706942538374
g10_video_002,69.7376,23.3113,96.5312,100.0,0.0,71.59639,99.2046,20.1453,0.0,98.203,98.49419999999999,20.1453,58.11407416666668,diff_ths_256prompt_72frame_6.4thp_80ths,93.38503787032029,38.45624466187362,82.39927922863095
g10_video_003,67.7261,21.1248,96.9419,0.0,0.0,74.483947,98.967,26.587,85.9375,97.9962,97.32690000000001,26.587,57.80652891666666,diff_ths_256prompt_72frame_6.4thp_80ths,84.82171697529944,63.99849335485316,80.65707225121018
g10_video_004,67.2488,21.3719,98.7698,0.0,0.0,75.056317,99.4023,26.9787,0.0,99.0094,99.25399999999999,26.9787,51.17249308333333,diff_ths_256prompt_72frame_6.4thp_80ths,86.34116326325298,44.602580139467,77.99344663849578
g10_video_005,70.7992,33.8439,97.7147,18.75,6.25,78.147214,98.779,24.9451,57.031200000000005,98.4609,97.7186,24.9451,58.94874283333334,diff_ths_256prompt_72frame_6.4thp_80ths,87.0448750948679,62.53502679757605,82.14290543540953
g10_video_006,56.627300000000005,30.5497,98.9939,0.0,100.0,65.074524,99.429,31.1481,0.0,99.40719999999999,99.1504,31.1481,59.294018666666666,diff_ths_256prompt_72frame_6.4thp_80ths,84.79654694762903,74.22868131868132,82.68297382183948
g10_video_007,59.835899999999995,21.7621,96.6053,50.0,100.0,76.60696,99.0243,31.0919,0.0,98.4452,98.4443,31.0919,63.575655000000005,diff_ths_256prompt_72frame_6.4thp_80ths,87.95875732371847,69.39678955619225,84.24636377021322
g10_video_008,71.4021,24.625,98.6598,0.0,100.0,78.039726,99.5895,25.022,100.0,99.3361,99.4945,25.022,68.43256050000001,diff_ths_256prompt_72frame_6.4thp_80ths,87.21469554974531,84.73844609361126,86.7194456585185
g10_video_009,66.12559999999999,23.5981,98.13,0.0,0.0,75.372207,99.2148,34.2561,0.0,98.9139,98.76650000000001,34.2561,52.386108916666664,diff_ths_256prompt_72frame_6.4thp_80ths,85.7165928197372,54.164164317762356,79.40610711934224
g10_video_010,64.3549,22.209300000000002,96.87780000000001,6.25,0.0,58.504331,99.27759999999999,30.453400000000002,0.0,98.2376,99.1002,30.453400000000002,50.476544249999996,diff_ths_256prompt_72frame_6.4thp_80ths,85.7138576132135,49.00940684052421,78.37296745867565
g10_video_011,59.846900000000005,26.8187,97.67909999999999,6.25,0.0,58.408848,99.5679,21.4169,0.0,99.43610000000001,99.4684,21.4169,49.192479,diff_ths_256prompt_72frame_6.4thp_80ths,85.70922701742474,42.31839999073309,77.0310616120864
