group,n_videos,aesthetic_quality_mean,aesthetic_quality_std,appearance_style_mean,appearance_style_std,background_consistency_mean,background_consistency_std,dynamic_degree_mean,dynamic_degree_std,human_action_mean,human_action_std,imaging_quality_mean,imaging_quality_std,motion_smoothness_mean,motion_smoothness_std,overall_consistency_mean,overall_consistency_std,scene_mean,scene_std,subject_consistency_mean,subject_consistency_std,temporal_flickering_mean,temporal_flickering_std,temporal_style_mean,temporal_style_std,vbench_temporal_score_mean,vbench_temporal_score_std,vbench_quality_score_mean,vbench_quality_score_std,vbench_semantic_lite_score_mean,vbench_semantic_lite_score_std,vbench_total_lite_score_mean,vbench_total_lite_score_std
causal-forcing-30s,128,58.224,7.765,23.3848,4.0986,95.2658,1.4237,61.2305,38.3865,19.6289,35.5266,69.6639,7.3449,98.4844,0.6368,23.0329,5.3638,34.5703,38.3682,96.6166,1.4879,95.4454,1.8302,23.0329,5.3638,58.215,5.7182,86.4366,3.1424,53.0857,12.6164,79.7664,3.7189
deep-forcing-30s,128,60.3827,7.8882,24.0751,4.501,95.7834,2.3705,51.6602,42.7399,21.4355,37.4646,68.1317,9.004,98.0185,2.333,24.3533,5.21,30.6183,38.8545,96.1888,3.888,96.8581,3.2095,24.3533,5.21,57.6549,5.937,86.4036,3.6593,54.2598,12.5279,79.9748,4.2647
pyramid-forcing-30s,128,61.706,8.3003,23.8188,4.455,96.2959,2.0346,53.7109,41.2826,20.752,37.4913,69.647,8.0735,98.6108,1.1351,24.5452,5.1112,32.608,40.3426,97.2827,2.5618,97.3469,2.1617,24.5452,5.1112,58.4058,6.3676,87.5843,2.8779,54.5413,13.5977,80.9757,3.9738
rolling-forcing-30s,128,61.6929,7.5173,23.9138,4.4949,96.656,1.4288,30.9082,36.2005,20.0195,37.3633,71.4341,6.3697,98.7179,0.8099,24.8457,4.9036,34.7687,41.3827,97.7121,1.7107,97.6916,1.6149,24.8457,4.9036,56.9339,5.873,86.1802,2.3597,55.1984,12.6908,79.9839,3.5539
self-forcing-30s,128,59.3035,7.4468,23.8889,4.3461,95.8411,1.9805,47.0215,37.8182,21.1426,37.1052,67.4281,9.0809,98.2721,1.7092,24.1799,5.1728,30.8991,38.2903,96.3046,3.1542,97.1816,2.4729,24.1799,5.1728,57.1369,5.7611,86.1818,2.5213,54.0831,12.9756,79.762,3.6887
