group,n_videos,aesthetic_quality_mean,aesthetic_quality_std,appearance_style_mean,appearance_style_std,background_consistency_mean,background_consistency_std,dynamic_degree_mean,dynamic_degree_std,human_action_mean,human_action_std,imaging_quality_mean,imaging_quality_std,motion_smoothness_mean,motion_smoothness_std,overall_consistency_mean,overall_consistency_std,scene_mean,scene_std,subject_consistency_mean,subject_consistency_std,temporal_flickering_mean,temporal_flickering_std,temporal_style_mean,temporal_style_std,vbench_temporal_score_mean,vbench_temporal_score_std,vbench_quality_score_mean,vbench_quality_score_std,vbench_semantic_lite_score_mean,vbench_semantic_lite_score_std,vbench_total_lite_score_mean,vbench_total_lite_score_std
deep-forcing-30s,127,60.3826,7.9287,24.0959,4.5088,95.7644,2.3802,52.313,42.7523,20.9646,36.854,68.067,9.0025,98.0109,2.3405,24.3013,5.1974,30.9363,38.9449,96.1714,3.8993,96.8454,3.219,24.3013,5.1974,57.6795,5.9852,86.4375,3.6778,54.2057,12.5576,79.9911,4.2985
pyramid-forcing-30s,104,59.3959,7.7824,21.6195,2.8726,96.2993,1.696,51.6827,41.6607,27.4639,41.8893,70.5236,6.5599,98.8452,0.6939,24.7308,4.5721,40.2794,41.7874,97.4995,2.0344,97.7219,1.4838,24.7308,4.5721,59.2327,6.0456,87.392,2.7401,56.5649,14.4189,81.2266,3.6141
rolling-forcing-30s,127,61.7016,7.5544,23.927,4.51,96.6665,1.4223,31.4469,36.5703,19.439,36.7419,71.4044,6.3888,98.7183,0.8125,24.8082,4.9016,35.1224,41.4778,97.7102,1.7169,97.6918,1.6212,24.8082,4.9016,56.9537,5.9371,86.2251,2.3994,55.1277,12.6718,80.0056,3.5994
self-forcing-30s,127,59.3092,7.474,23.9085,4.3563,95.8361,1.9826,47.2933,38.1035,20.3248,36.247,67.3575,9.0844,98.2653,1.7146,24.138,5.1756,31.1793,38.434,96.2845,3.1591,97.1698,2.4792,24.138,5.1756,57.1004,5.7508,86.1904,2.5431,53.9441,12.8984,79.7412,3.6838
