video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
g1_video_000,54.6739,20.6948,92.7532,100.0,3.2258,63.486245,95.5853,20.3625,89.5161,94.3324,91.036,20.3625,62.16906208333334,deep-forcing-60s,84.57762051897555,57.50136496860835,79.16236940890211
g1_video_001,68.0061,20.7461,96.046,100.0,0.0,70.984723,99.0213,27.044400000000003,0.0,97.3706,98.1566,27.044400000000003,58.70168525,deep-forcing-60s,92.63073495266528,44.23500281868519,82.95158852586925
g1_video_002,68.6216,22.6509,96.1111,70.9677,0.0,74.94317,99.2322,21.4853,5.6452,97.9131,98.6976,21.4853,56.47943083333333,deep-forcing-60s,90.93931905114935,40.837876053697535,80.91903045165898
g1_video_003,61.3552,20.3517,94.8171,0.0,0.0,70.895845,98.7174,27.9696,13.7097,97.183,97.6031,27.9696,50.881020416666665,deep-forcing-60s,83.2352992523873,48.30942721160925,76.25012484423169
g1_video_004,70.1298,21.6564,98.3374,3.2258,0.0,71.172828,99.3114,25.8422,0.0,98.2303,99.0683,25.8422,51.06805233333333,deep-forcing-60s,86.67702488637198,43.55360876649704,78.052341662397
g1_video_005,60.8789,32.004,96.1083,6.4516,45.1613,76.096601,98.4147,26.1874,29.0323,98.417,97.6363,26.1874,57.71465008333334,deep-forcing-60s,84.00366088664927,64.87172431578638,80.1772735724767
g1_video_006,58.06,30.8276,98.1573,0.0,41.9355,69.130229,99.0347,30.385,0.0,98.731,98.4296,30.385,54.58966075000001,deep-forcing-60s,84.21359099263837,61.77720989010989,79.72631477213267
g1_video_007,58.8379,22.1355,96.1988,12.9032,100.0,77.448167,99.0282,28.923700000000004,0.0,98.4858,98.5359,28.923700000000004,60.118405583333335,deep-forcing-60s,84.91432519962203,67.27655556671019,81.38677127303966
g1_video_008,69.7115,24.7587,98.8655,0.0,100.0,78.090259,99.641,23.7472,100.0,99.2477,99.6525,23.7472,68.12179658333335,deep-forcing-60s,87.07427916449359,83.43152340280943,86.34572801215675
g1_video_009,61.7391,23.3646,96.1214,3.2258,0.0,72.595589,98.6636,26.2542,0.0,97.0249,97.8535,26.2542,50.25807408333333,deep-forcing-60s,83.86125181264165,45.20677766365749,76.13035698284482
g1_video_010,64.0919,21.62,96.6812,12.9032,0.0,68.235591,99.2091,31.7424,0.0,97.5705,98.9022,31.7424,51.89154091666666,deep-forcing-60s,85.90569424761232,50.01176526916513,78.72690845192288
g1_video_011,54.2855,26.1946,96.3031,0.0,0.0,63.399315,99.3835,19.4833,0.0,98.6315,99.0948,19.4833,48.02157624999999,deep-forcing-60s,83.68885399553876,39.75498436208908,74.90208006884883
